FAMILY	ABBREVIATION
Abinomn	Abi
Abun	Abu
Afro-Asiatic	AA
Aikaná	Aik
Ainu	Ain
Alacalufan	Ala
Algic	Alg
Altaic	Alt
Amto-Musan	AM
Andamanese	And
Andoke	Ank
Anim	Ani
AnsonBay	AB
Anêm	Ane
Arafundi	Ara
Arauan	Aru
Araucanian	Arc
Arawakan	Arw
Arutani	Art
Asmat-KamrauBay	AK
Atacame	Atc
Atakapa	Ata
Austro-Asiatic	AuA
Austro-Thai	AuT
Austronesian	An
Awin-Pare	AP
Aymaran	Aym
Baibai-Fas	BF
Baining	Bai
Bangime	Ban
Barbacoan	Bar
Basque	Bas
Bayono-Awbono	BA
Beothuk	Beo
Berta	Ber
Betoi	Bet
Bogia	Bog
Boran	Bra
Border	Bor
Bororoan	Bro
Bosavi	Bos
BulakaRiver	Bul
Bunuban	Bun
Burmeso	Bur
Burushaski	Brs
Cacua-Nukak	CN
Caddoan	Cad
Cahuapanan	Cah
Camsá	Cam
Candoshi	Cnd
Cant	Can
Cariban	Car
Cayuse	Cyu
Cayuvava	Cay
CentralSudanic	CSu
Chapacura-Wanham	CW
Charruan	Cha
Chibchan	Chi
Chimakuan	Chk
Chimúan	Cmu
Chiquitano	Chq
Chitimacha	Cht
Choco	Cho
Cholon	Chl
Chonan	Chn
Chukotko-Kamchatkan	CK
Chumash	Chu
Coahuiltecan	Coa
Cofán	Cof
Comecrudan	Com
Cotoname	Cot
Creoles&Pidgins	Cre
Cuitlatec	Cui
Dagan	Dag
DarwinRegion	DR
Dem	Dem
Dogon	Dog
Doso	Dos
Dravidian	Dra
Duna-Bogaya	DB
EastBird'sHead	EBH
EastBougainville	EB
EastGeelvinkBay	EGB
EastPapuan	EP
EastStrickland	ES
EasternDaly	ED
EasternSudanic	ESu
EasternTrans-Fly	ETF
Elamite	Ela
Eleman	Ele
Eskimo-Aleut	EA
Esselen	Ess
Etruscan	Etr
Fulniô	Ful
Fur	Fur
Gaagudju	Gaa
Gapun	Gap
Garrwan	Gar
GeelvinkBay	GB
Giimbiyu	Gii
Gogodala-Suki	GS
GreatAndamanese	GA
GreaterKwerba	GKw
Guahiban	Gua
Guaicuruan	Gcu
Guamo	Gmo
Guató	Gto
Guichi	Gch
Gulf	Gul
Gumuz	Gum
Gunwinyguan	Gun
Guriaso	Gur
GreaterWestBomberai	GWB
Hadza	Had
Haida	Hai
Harakmbet	Har
Hatam	Hat
Hatam-Mansim	HaM
Hibito-Cholon	HC
Hmong-Mien	HM
Hokan	Hok
Hruso	Hru
Huarpe	Hur
Huavean	Hua
Huitotoan	Hui
Ijoid	Ijo
Indo-European	IE
InlandGulf	IG
Iranxe	Ira
Iroquoian	Iro
Itonama	Ito
Iwaidjan	Iwa
Jabutí	Jab
Jalaa	Jal
Japanese	Jap
Jarrakan	Jar
Jirajaran	Jir
Jivaroan	Jiv
Kadugli	Kad
Kalapuyan	Kal
Kamula	Kam
Kamula-Elevala	KE
Kapauri	Kap
Kapixana	Kpx
Karankawa	Kak
Kariri	Kri
Karkar-Yuri	KY
Karok	Kar
Kartvelian	Krt
Katukinan	Kat
Kaure	Kau
Kayagar	Kay
Kazukuru	Kaz
Kebar	Keb
Kehu	Keh
Kembra	Kem
Kenaboi	Ken
Keram	Krm
Keresan	Ker
Khoe-Kwadi	KK
Kibiri	Kib
Kiowa-Tanoan	KT
Kiwaian	Kiw
Kol	Ko
Kolopom	Kol
Koman	Kom
Kordofanian	Krd
Korean	Kor
Karami	Kra
Kujarge	Kuj
Kunama	Knm
Kungarakany	Kng
Kunza	Kun
Kuot	Kuo
Kusunda	Kus
Kutenai	Ktn
Kwalean	Kwa
Kwaza	Kwz
Kwerba	Kwe
Kwomtari	Kwo
Kwomtari-Baibai	KB
Kxa	Kxa
Laal	Laa
Laal	Laal
LakesPlain	LP
Lavukaleve	Lav
LeftMay	LeM
Leko	Lek
Lencan	Len
LeonhardSchultze	LS
Lepki	Lep
LowerMamberamo	LMa
LowerSepik-Ramu	LSR
Lule	Lul
Maban	Mab
Macro-Ge	MGe
Mairasic	Mai
Mande	Man
Mangarrayi-Maran	MM
Mangrida	Mng
Maratino	Mrt
Marind	Mar
Marrku-Wurrugu	MW
Mascoian	Mas
Masep	Msp
Mataco-Guaicuru	MG
Matacoan	Mat
Mayan	May
Maybrat	Mbr
Mirndi	Mir
Misumalpan	Mis
Mixe-Zoque	MZ
Mochica	Moc
Molof	Mol
Mombum	Mom
Mongol-Langam	ML
Monumbo	Mon
Mor	Mor
Moraori	Mra
Morehead-Wasur	MoW
MoreheadandUpperMaroRivers	MUM
Morwap	Mrw
Mosetenan	Mos
Movima	Mov
Mpur	Mpu
Munichi	Mun
Mura	Mur
Murkim	Mrk
Muskogean	Mus
Máku	Mak
Na-Dene	NDe
Nadahup	Nad
Nahali	Nah
Nakh-Daghestanian	NDa
Nambikuaran	Nam
Natchez	Nat
Niger-Congo	NC
Nilo-Saharan	NS
Nimboran	Nim
Nivkh	Niv
North-EasternTasmanian	NET
NorthBougainville	NB
NorthHalmaheran	NHa
NorthernDaly	ND
NorthwestCaucasian	NWC
Nyulnyulan	Nyu
Odiai	Odi
Oksapmin	Oks
OregonCoast	OC
Other	Oth
Oto-Manguean	OM
Otomaco	Oto
Pama-Nyungan	PN
Pankararu	Pnk
Pano-Tacanan	PT
Panoan	Pan
Papi	Pap
Pataxo	Pat
Pauwasi	Pau
Payagua	Pay
Peba-Yaguan	PY
Penutian	Pen
Piawi	Pia
Puinave	Pui
Puquina	Puq
Purari	Pur
Páezan	Pae
Quechuan	Que
Ramu-LowerSepik	RLS
ReefIslands-SantaCruz	RSC
Saharan	Sah
Sáliban	Slb
Salinan	Sln
Salishan	Sal
Sandawe	Sad
Sapé	Sap
Savosavo	Sav
Sechura	Sch
Senagi	Sen
Sentanic	Snt
Sepik	Sep
Sepik-Ramu	SR
Shabo	Sha
Shompen	Sho
Siamou	Sia
Sino-Tibetan	ST
Siouan	Sio
Skou	Sko
SolomonsEastPapuan	SoP
Songhay	Son
SouthAndamanese	SAn
SouthBird'sHead	SBH
SouthBougainville	SB
SouthernDaly	SD
Sulka	Slk
Sulung	Sul
Sumerian	Sum
Tacanan	Tac
Tai-Kadai	TK
Takelma	Tak
Tambora	Tam
Tanahmerah	Tnm
Tangkic	Tan
Tarascan	Tar
Taruma	Trm
Tate	Tat
Taulil	Tal
Taushiro	Tau
Tayap	Tay
Teberan-Pawaian	Teb
Tequistlatecan	Teq
Ticuna	Tic
Timor-Alor-Pantar	TAP
Timote-Cuica	TC
Timucua	Tim
Tiwian	Tiw
Tlallan	Tla
Tofanma	Tof
Tol	Tol
Tonkawa	Ton
Tor-Kwerba	TKw
Tor-Orya	TO
Torricelli	Tor
Toto-Zoquean	TZ
Totonacan	Tot
Touo	Tou
Trans-NewGuinea	TNG
Trumai	Tru
Tsimshianic	Tsi
Tu	Tu
Tucanoan	Tuc
Tunica	Tun
Tupian	Tup
Turama-Kikorian	TuK
Tuxa	Tux
Umbugarla	Umb
UpperYuat	UY
Uralic	Ura
Urarina	Urr
Uru-Chipaya	UC
Usku	Usk
Uto-Aztecan	UA
Vilela	Vil
Wadjiginy	Wad
Wandjiginy	Wnd
Wagiman	Wag
Wakashan	Wak
Waorani	Wao
Wappo-Yukian	WY
Warao	War
Washo	Wsh
Wasi	Was
WestBird'sHead	WBH
WestBomberai	WBm
WestBougainville	WBg
WestPapuan	WP
WesternDaly	WD
WesternFly	WF
Witotoan	Wit
Worrorran	Wor
Woswari	Wos
Xincan	Xin
Yale	Yal
Yam	Ya
Yangmanic	Yng
Yanomam	Yan
Yareban	Yrb
Yaruro	Yrr
Yatê	Yat
Yawa	Yaw
Yele	Yel
YeliDnye	YD
Yeniseian	Yen
Yuat	Yua
Yuchi	Yuc
Yukaghir	Yka
Yuki	Yuk
Yuracare	Yur
Yuwana	Yuw
Yámana	Yam
Yurumanguí	Yrm
Zamucoan	Zam
Zaparoan	Zap
Zuni	Zun
