iso_code	lat	long
aaa	7.08	5.75
aab	9	8.47
aac	-7.92	142.5
aad	-4	142
aai	-9.17	149.17
aak	-7.17	145.75
aal	11.33	15.33
aan	-2.63	-49.33
aao	29	5
aap	-3.62	-53
aaq	45	-68.67
aar	12	42
aas	0.55	37.17
aat	38.25	23.25
aau	-4	141.25
aaw	-5.92	148.83
aay	23.5	78.5
aaz	-10.25	124
aba	5.83	-4.25
abb	4.42	9.58
abc	14.75	120.25
abd	14.17	122.83
abe	44	-72.25
abf	5.7	117.5
abg	-6.17	145.67
abi	5.67	-4.58
abj	11.67	92.5
abk	43.08	41
abl	-4.67	105.5
abm	6.27	8.63
abn	4.91	6.69
abo	6.93	10.9
abp	15.42	120.17
abq	44	42
abr	8	-3
abs	-3.83	128.17
abt	-3.83	143
abu	5.25	-3.5
abv	26	50.5
abw	-4.83	145.25
abx	12.42	124.17
aby	-9.83	148.5
abz	-8.25	124.58
aca	4.42	-72.25
acb	6.63	11.08
acc	15.17	-90.5
acd	8.33	0.58
ace	5.5	95.5
ach	3	32.67
aci	13.5	93
acm	33	44
acn	25	98.5
acp	10.75	6
acq	13.67	45.17
acr	15.08	-90.33
act	52	6.5
acu	-3	-76
acv	41.5	-121
acw	26	38
acx	23.25	58.5
acy	35.25	33.5
acz	10.92	30.33
ada	6.67	-0.08
adb	-8.25	125.58
add	6.75	10.92
ade	8.17	0.5
adf	17	54.42
adg	-22.75	138
adh	0.67	34
adi	28.5	95.25
adj	5.42	-4.58
ado	-4.25	144.5
adq	6.42	0.67
adr	-8.33	123.17
ads	5.83	-0.17
adt	-30.5	139.5
adu	7.67	6.13
adw	-11.14	-63.77
adx	35	100
ady	45.22	39.7
aea	-16.75	142.58
aeb	36.75	10.25
aec	27	31
aed	-34	-63
aek	-21.08	164.83
ael	5.93	9.62
aem	17.33	106.42
aer	-24	136
aes	44.67	-123.92
aew	-4.25	144.25
aey	-5.25	145.58
afb	26	49
afe	6.67	9
afi	-4.83	144.83
afn	4.58	7.5
afo	8.25	8
afr	-31	22
afs	29.5	-101.5
aft	12.47	30.75
afu	5.42	-0.58
afz	-3	138
agb	6	8
agc	8.17	7.58
agd	-6.17	146
age	-6	143.67
agf	-2.67	132.58
agg	-3.75	141.17
agh	1.75	25
agj	10.17	40.08
agk	13.58	123.33
agl	-5.75	142.25
agm	-7.22	146.25
agn	10.5	119.67
ago	-7.42	145.67
agp	17	122.33
agq	6.67	10
agr	-5	-78
ags	6.5	9.92
agt	17.97	121.83
agu	15.42	-91.33
agv	14.58	121.42
agw	-10.67	162.25
agx	41.75	47.67
agy	15.17	121.08
aha	4.87	-2
ahb	-16.5	167.75
ahg	12.67	37.42
ahh	-6.17	140.17
ahi	5.33	-4.67
ahk	21.83	99.83
ahl	6.67	0.67
ahm	5.25	-4.5
ahn	7.43	6
ahp	5.25	-4.5
ahs	9.33	7.42
aht	62	-145
aia	-10.25	161.33
aib	39.5	76
aic	-3.08	141.17
aid	-12.5	142
aie	-5.67	148.5
aif	-3.42	142.42
aig	17.5	-62
aii	36	41
aij	31.75	35
aik	8.58	8.75
ail	-6.92	142.67
ain	43	143
aip	-4.92	140.25
ais	24	121.5
aix	-6	150
aiy	4.67	18
aiz	6	36.58
aja	7.33	25.67
ajg	7	1.75
aji	-21.33	165.5
ajp	32	35.25
aju	33.5	-7.5
aka	6.5	-1.25
akb	2	100.5
akc	-0.75	133.25
akd	5.55	8.12
ake	6	-59.5
akf	7.33	8
akg	-9.58	119.75
akh	-6.08	143.5
aki	-5.17	144.83
akl	11.58	122.33
akn	2.5	-51.58
ako	3.2	-55.67
akp	7.25	0.42
akq	-3.5	141.75
akr	-15.67	166.92
aks	8.83	1.33
akt	-6.08	149.08
aku	6.77	10
akv	42.33	46.33
akw	-0.25	15.85
akx	12.75	92.75
akz	32.33	-87.42
ala	8.33	8.5
alc	-49	-75
ald	5.17	-4.33
ale	54	-166
alf	6.58	9
alh	-15.17	134.25
ali	-5.25	145.42
alj	13	121
alk	16.25	106.25
alm	-15.5	166.92
aln	41.33	20.83
alo	-3.75	127.92
alp	-3	128.33
alq	46	-77
alr	61	165
als	41	20
alt	51	87
alu	-9.25	161.17
alw	7.42	38.17
alx	-3.42	142.5
aly	-22.5	135
alz	2.42	31.25
ama	-3.75	-48.67
amb	7.07	10.8
amc	-10.5	-72.5
amd	0	-51.08
ame	-10.5	-75.42
amf	5	36.5
amg	-12	132.83
amh	10	38
ami	23.33	121.33
amj	14.5	21.17
amk	-1.83	136.5
amm	-4.17	141.67
amn	-3.58	141.25
amo	10.33	8.67
amp	-4.67	143.33
amq	-3.33	128.92
amr	-12.5	-70.5
ams	28	129.17
amt	-4.08	141.33
amu	16.83	-98
amv	-3.58	127.58
amw	33.92	36.25
amx	-22	133.25
amy	-13.5	130
amz	-11	143.25
anc	9.5	9.5
and	-1.67	135.5
ane	-21.67	166
anf	7.6	0.42
anh	-5	144.92
ani	42.75	46.25
anj	-5	144.83
ank	8.67	9.75
ann	4.58	7.83
ano	-0.67	-72
anq	12	92.58
ant	-27.33	134.5
anu	8	33.5
anv	6	9.42
anw	5	7.58
anx	-1.92	147.08
any	7	-3.5
anz	-5.58	149.08
aoa	0.25	6.5
aoc	5.33	-62
aod	-4.5	144.75
aoe	-6.17	143.58
aof	-3.5	142.5
aog	-4.08	144
aoi	-14	136.5
aoj	-3.5	143
aok	-21.33	165.17
aol	-7.67	124
aom	-9.05	148.08
aon	-3.47	143.17
aor	-15.5	167.17
aos	-2.92	140.75
aot	26	93
aoz	-9.67	124.5
apb	-9.62	161.45
apc	33.75	36
ape	-3.42	143.17
apg	-0.83	116.33
aph	27	87.33
api	-11.37	-57.25
apj	36.58	-104
apk	34.33	-98.42
apl	33.33	-105.5
apm	33.25	-108
apn	-5.5	-48
apo	-6.33	149.75
app	-15.67	168.17
apq	12	92.67
apr	-5.38	147.05
aps	-3	142.17
apt	27.5	93.75
apu	-9	-67
apw	33.75	-110
apx	-7.83	126.5
apy	0	-54
apz	-6.75	146.08
aqc	42	46.83
aqg	7.57	5.87
aqm	-6.33	138.67
aqn	15.67	121.5
aqp	30	-93.5
aqr	-21.25	165.25
arb	25	42
ard	-28.25	136.25
are	-24	132.5
arf	-4.92	143.67
arg	42.5	0.17
arh	10.67	-73.75
ari	45.5	-100.5
arj	0.18	-67.63
ark	-12.42	-62.8
arl	-2	-75.17
arn	-38	-72
aro	-12.33	-67.75
arp	40	-103
arq	34.5	3
arr	-10.33	-62
ars	32.5	42
arv	5	36.75
arw	5.5	-55.17
arx	-12.17	-62.42
ary	34	-6
arz	30	31
asa	-4	36.5
