iso	lat	lon
oun	-15.3	14.35
alu	-9.20699	161.158
kud	-10.0959	151.002
hnh	-19.0966	22.9088
gnk	-21.8555	22.2003
xeg	-26.3407	30.4028
gwj	-22.2708	21.9431
xam	-31.7612	20.1733
aue	-21.0554	21.1793
aou	26.8	105.85
aiw	5.95034	36.5721
aas	-4.00679	36.8648
kbt	-9.03389	146.992
abg	-6.12028	145.665
abf	5.55394	118.306
abm	6.30619	8.63055
aau	-3.97222	141.324
flh	-3.04582	139.213
abq	41.1214	42.7273
abp	15.4131	120.2
abi	5.65656	-4.58421
bsa	-2.92281	138.891
axb	-29.0	-61.0
abk	43.056218	41.159115
aob	-8.42448	142.842
abo	6.90621	10.8769
abr	7.72094	-2.50289
ado	-4.24027	144.474
aah	-3.461612	142.917031
abn	4.83057	6.61492
abz	-8.31058	124.588
kgr	-0.57073	132.416
abu	5.21534	-3.64123
mgj	4.62301	6.50634
aba	5.59682	-4.38497
tpx	17.1034	-99.0602
ace	3.90757	96.6032
aca	4.38649	-72.2005
yif	24.152	102.446
acz	10.8827	30.3187
acr	15.073	-90.3513
acu	-2.82646	-77.2641
acv	41.0979	-121.191
guq	-25.5865	-56.4697
ach	3.57738	32.5147
acs	-12.594	-40.21445
adb	-8.22674	125.576
xad	31.6314	-92.0059
fub	8.140326	13.077338
ads	5.834	-0.151
adn	-8.18958	124.448
adq	6.50546	0.727155
ada	5.9437	0.13243
adp	27.141	90.3369
tiu	17.8187	120.905
ade	8.16975	0.619185
NANANA	40.05	48.06
adh	0.73235	34.0341
adj	5.38228	-4.52522
gas	24.0712	73.1426
adt	-30.1451	138.671
adr	-8.32027	123.159
adu	7.64567	6.13085
ady	44.0	39.33
adz	-6.39394	146.294
aez	-8.855095	147.99477
awi	-5.88478	141.532
aeq	25.254	69.029
ash	-1.284096	-75.084405
aal	12.0551	14.6343
aar	12.2281	41.8083
afg	34.434167	70.447778
aft	12.446	30.7611
afr	-22.0	30.0
afs	31.7843	-99.2934
agd	-6.20604	145.917
