wals_code	iso_code
aab	
aar	aiw
aba	aau
abb	shu
abd	abi
abe	apc
abh	abv
abi	axb
abk	abk
abm	akz
abn	ard
abo	arv
abu	kgr
abv	abz
abw	abe
abz	abq
ace	ace
acg	aca
ach	guq
aci	acr
acl	ach
acm	acv
acn	acn
aco	kjq
acu	acu
ada	ads
adg	adn
adi	adj
adk	ano
adn	adt
adt	ady
ady	ady
adz	adz
aea	ale
aeg	arz
ael	ayl
afr	afr
aga	agd
agb	agb
agc	agt
agd	duo
agh	agq
agl	agx
agm	njm
agm	nri
ago	aoa
agr	agr
agt	lnj
agu	agu
agw	wbj
aho	arp
ahs	mey
aht	aht
ahu	ahh
aik	tba
ain	ain
aiz	ahp
aja	aja
ajg	ajg
aji	aji
aka	axk
akb	abj
akc	aci
akh	ahk
akk	akx
akl	akl
akm	rmz
akn	aka
ako	acy
akr	ari
akw	ake
ala	amp
alb	aln
alb	als
alc	
ald	ald
ale	ale
alg	alq
alk	apr
all	nrz
aln	alp
als	aes
alt	gsw
alu	alr
alw	alh
alx	btz
aly	aly
ama	aie
amb	abt
amc	amc
amd	adx
ame	aey
amh	amh
ami	ami
amk	amr
aml	omb
amm	amm
amn	amn
amo	amo
amp	aer
amq	amk
amr	ary
ams	arb
amt	adx
amu	ame
amx	imi
amz	amu
ana	aro
anc	anc
ane	anz
ang	agg
ani	hnh
anj	aty
anl	apc
ann	aoi
ano	nun
ant	agm
anu	cko
anx	ani
any	anu
ao	njo
aoj	aoj
apa	ajp
apc	apm
ape	apz
api	apn
apj	apj
apk	apq
apl	apy
apt	apt
apu	apu
apw	apw
ara	arw
arb	arl
arc	aqc
ard	jbj
arg	afb
arh	acw
ari	laz
arj	afb
ark	akr
arl	apc
arm	hye
arn	shu
aro	aia
arp	ape
arq	acm
arr	aer
ars	ayn
arv	ajp
arw	hye
arx	alu
arz	hye
ash	ady
asl	ase
asm	tml
aso	alt
ass	asm
ast	ast
asu	asu
asy	apc
ata	tay
atb	atq
atc	upv
ath	aph
ati	atj
atk	aqp
atm	kuz
atq	ems
ats	atw
atu	aeb
au	avt
